[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],Pressure [ Pa ]
-1.44277203e+00, -4.51477289e+00
-1.45482028e+00, -4.47372055e+00
-1.46686852e+00, -4.41960955e+00
-1.47891676e+00, -4.36549711e+00
-1.49096501e+00, -4.31138468e+00
-1.50301325e+00, -4.25727272e+00
-1.51506150e+00, -4.20316076e+00
-1.52710974e+00, -4.14904881e+00
-1.53915799e+00, -4.09328794e+00
-1.55120623e+00, -4.03098297e+00
-1.56325448e+00, -3.95726347e+00
-1.57530272e+00, -3.88354397e+00
-1.58735096e+00, -3.80982399e+00
-1.59939921e+00, -3.73610353e+00
-1.61144745e+00, -3.66238451e+00
-1.62349570e+00, -3.58866405e+00
-1.63554394e+00, -3.50890970e+00
-1.64759219e+00, -3.42243385e+00
-1.65964043e+00, -3.33595848e+00
-1.67168868e+00, -3.24948263e+00
-1.68373692e+00, -3.16046667e+00
-1.69578516e+00, -3.06868029e+00
-1.70783341e+00, -2.97806120e+00
-1.71988165e+00, -2.89172149e+00
-1.73192990e+00, -2.80538154e+00
-1.74397814e+00, -2.71904230e+00
-1.75602639e+00, -2.62589312e+00
-1.76807463e+00, -2.52838278e+00
-1.78012288e+00, -2.43175316e+00
-1.79217112e+00, -2.33792782e+00
-1.80421937e+00, -2.24410248e+00
-1.81626761e+00, -2.15027618e+00
-1.82831585e+00, -2.05645084e+00
-1.84036410e+00, -1.96262503e+00
-1.85241234e+00, -1.86656022e+00
-1.86446059e+00, -1.76784635e+00
-1.87650883e+00, -1.66861320e+00
-1.88855708e+00, -1.56925106e+00
-1.90060532e+00, -1.46988916e+00
-1.91265357e+00, -1.37034762e+00
-1.92470181e+00, -1.27059293e+00
-1.93675005e+00, -1.17401874e+00
-1.94879830e+00, -1.07973874e+00
-1.96084654e+00, -9.85459328e-01
-1.97289479e+00, -8.91403675e-01
-1.98494303e+00, -7.95862913e-01
-1.99699128e+00, -6.99066818e-01
-2.00903940e+00, -6.02271616e-01
-2.02108765e+00, -5.05475521e-01
-2.03313589e+00, -4.08679575e-01
-2.04518414e+00, -3.21287334e-01
-2.05723238e+00, -2.55076319e-01
-2.06928062e+00, -1.93648815e-01
-2.08132887e+00, -1.40934005e-01
-2.09337711e+00, -8.57636705e-02
-2.10542536e+00, -2.19644196e-02
-2.11747360e+00, 4.18347791e-02
-2.12952185e+00, 6.84662163e-02
-2.14157009e+00, 7.97790065e-02
-2.15361834e+00, 9.10918191e-02
-2.16566658e+00, 1.02338284e-01
-2.17771482e+00, 1.08609527e-01
-2.18976307e+00, 1.15545541e-01
-2.20181131e+00, 1.25566140e-01
-2.21385956e+00, 1.21292710e-01
-2.22590780e+00, 8.27599838e-02
-2.23795605e+00, 4.23772708e-02
-2.25000429e+00, 0.00000000e+00


